full_url,name,stars,price,address,lat,lon,features,rating_text,rating,mark,local,dist_local,dist_baikal,dist_aeroport,dist_railway,dist_beach,meal_type,dist_baikal_meters,url,number_reviews
https://101hotels.com/main/cities/leestvyanka/majak.html,Загородный комплекс Маяк,4.0,4200.0,"Листвянка, ул. Горького, д. 85а",51.847335,104.87391,['БАНЯ/САУНА'],ОЧЕНЬ ХОРОШО,9.1,463.0,Листвянка,1.1 км,58 м,59.2 км,5.1 км,,Завтрак,58.0,majak.html,25
https://101hotels.com/main/cities/bolshoe_goloustnoe/kemping_russkoe_podvore.html,Кемпинг Русское Подворье,,1600.0,"Большое Голоустное, Улица Кирова 2Б",52.04336,105.40833,"['БАНЯ/САУНА', 'БАССЕЙН', 'ВЕРХОВАЯ ЕЗДА', 'ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",ОТЛИЧНО,9.3,40.0,Большое Голоустное,500 м,1.8 км,76.3 км,45.4 км,,,1800.0,kemping_russkoe_podvore.html,5
https://101hotels.com/main/cities/huzhir/baikal_view_hotel.html,Baikal View Hotel,3.0,7040.0,"Хужир, Улица Российская 17",53.17798,107.3069,"['БАНЯ/САУНА', 'МАНГАЛ', 'ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'БАССЕЙН', 'ВЕРХОВАЯ ЕЗДА', 'ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",ВЕЛИКОЛЕПНО,9.6,219.0,Хужир,3.0 км,25.8 км,153.1 км,228.2 км,,Завтрак,25800.0,baikal_view_hotel.html,8
https://101hotels.com/main/cities/nikola/otel_baykalskie_sezoni.html,Загородный отель Байкальские Сезоны,3.0,5250.0,"Листвянка, 61км Байкальского Тракта",51.90666,104.80556,"['БАНЯ/САУНА', 'ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",ОЧЕНЬ ХОРОШО,8.9,126.0,Листвянка,,3.6 км,51.1 км,4.1 км,,Завтрак,3600.0,otel_baykalskie_sezoni.html,2
https://101hotels.com/main/cities/bolshoe_goloustnoe/baza_otdiha_faktoriya.html,База отдыха Фактория,,1500.0,"Большое Голоустное, ул. Пименова, д. 5",52.04367347572023,105.435,"['БАНЯ/САУНА', 'ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",ОЧЕНЬ ХОРОШО,9.1,50.0,Большое Голоустное,1.9 км,1.1 км,78.0 км,47.1 км,,,1100.0,baza_otdiha_faktoriya.html,10
https://101hotels.com/main/cities/sarma/gostevie_doma_na_rodnih_beregah.html,База отдыха Родные берега,,1400.0,"Сарма, Hujir - Nuge Bay",53.08684,106.79644,"['БАНЯ/САУНА', 'БАССЕЙН', 'ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",ОЧЕНЬ ХОРОШО,8.9,37.0,Сарма,2.9 км,19.5 км,150.0 км,194.6 км,,,19500.0,gostevie_doma_na_rodnih_beregah.html,4
https://101hotels.com/main/cities/sarma/turbaza_sarminskaya.html,Турбаза Сарминская,,1200.0,Сарма,53.07617,106.81133,"['БАНЯ/САУНА', 'ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'ВЕРХОВАЯ ЕЗДА', 'ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",ОЧЕНЬ ХОРОШО,8.9,60.0,Сарма,3.1 км,18.2 км,147.9 км,193.2 км,,,18200.0,turbaza_sarminskaya.html,8
https://101hotels.com/main/cities/baykal/baza_otdiha_krugobaykalskaya.html,База отдыха Кругобайкальская,3.0,2200.0,"Байкал, ул. Горная, д. 33",51.87696,104.79833,"['БАНЯ/САУНА', 'ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'БАССЕЙН', 'АРЕНДА ЛОДОК, КАТЕРОВ', 'ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",ОТЛИЧНО,9.3,4.0,Байкал,800 м,411 м,53.5 км,1.1 км,,,411.0,baza_otdiha_krugobaykalskaya.html,4
https://101hotels.com/main/cities/slyudyanka/yurt_camping.html,Кемпинг Юрта,,1200.0,"Слюдянка, Слюдянский район п. Буравщина ул.Буравщинская, 19",51.61982,103.81125,"['БАНЯ/САУНА', 'ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'БАССЕЙН', 'ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",ВЕЛИКОЛЕПНО,9.6,72.0,Слюдянка,8.8 км,643 м,81.5 км,7.1 км,,,643.0,yurt_camping.html,5
https://101hotels.com/main/cities/huzhir/usadba_valentinu.html,Усадьба Валентины,,2700.0,"Хужир, ул. Совхозная, д. 4",53.193366602620586,107.35,"['БАНЯ/САУНА', 'ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'ВЕРХОВАЯ ЕЗДА', 'ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",ВЕЛИКОЛЕПНО,9.6,14.0,Хужир,500 м,1.3 км,154.7 км,231.6 км,,,1300.0,usadba_valentinu.html,3
https://101hotels.com/main/cities/huzhir/baza_otdiha_kak_doma.html,База отдыха Как Дома,,3100.0,"Хужир, ул. Солнечная, д. 3",53.19525505094113,107.348,"['БАНЯ/САУНА', 'ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'ВЕРХОВАЯ ЕЗДА', 'ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",ВЕЛИКОЛЕПНО,9.6,21.0,Хужир,400 м,812 м,154.9 км,231.6 км,,,812.0,baza_otdiha_kak_doma.html,4
https://101hotels.com/main/cities/huzhir/baza_otdiha_solnechnaya.html,База отдыха Солнечная,,1900.0,"Хужир, ул. Солнечная, д. 14",53.19679108026805,107.35,"['ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'ВЕРХОВАЯ ЕЗДА', 'ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",ОЧЕНЬ ХОРОШО,9.1,140.0,Хужир,600 м,826 м,155.1 км,,,,826.0,baza_otdiha_solnechnaya.html,7
https://101hotels.com/main/cities/huzhir/aldartay_otel.html,База отдыха Алдартай,,5100.0,"Хужир, ул. Байкальская, д. 59/1",53.1940859,107.3520782,"['БАНЯ/САУНА', 'ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",ХОРОШО,8.7,86.0,Хужир,600 м,1.4 км,154.8 км,231.7 км,,,1400.0,aldartay_otel.html,15
https://101hotels.com/main/cities/huzhir/baza_otdiha_karavanka.html,База отдыха Караванка,,5000.0,"Хужир, ул. Береговая, д. 16",53.1844113038855,107.3194,"['БАНЯ/САУНА', 'ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'ВЕРХОВАЯ ЕЗДА', 'АВТОСТОЯНКА']",ОЧЕНЬ ХОРОШО,9.1,48.0,Хужир,1.9 км,445 м,153.8 км,229.3 км,,,445.0,baza_otdiha_karavanka.html,2
https://101hotels.com/main/cities/huzhir/turisticheskiy_kompleks_sarayskiy.html,Туристический комплекс СаРайский,,6100.0,"Хужир, Улица Сарайская, 5",53.20239,107.35335,"['БАНЯ/САУНА', 'ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'ВЕРХОВАЯ ЕЗДА', 'ДЕТСКАЯ ПЛОЩАДКА']",ОЧЕНЬ ХОРОШО,9.1,19.0,Хужир,1.2 км,244 м,155.7 км,232.2 км,,Завтрак,244.0,turisticheskiy_kompleks_sarayskiy.html,1
https://101hotels.com/main/cities/shida/inn_zvezda.html,База отдыха Звезда,,,Шида,53.074066,106.81015,"['БАНЯ/САУНА', 'ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'ВЕРХОВАЯ ЕЗДА', 'АВТОСТОЯНКА']",ХОРОШО,8.7,8.0,Шида,2.7 км,,147.7 км,193.3 км,,,,inn_zvezda.html,8
https://101hotels.com/main/cities/vidrino/usadba_novo-snezhka.html,Усадьба Ново-Снежка,,7000.0,"Выдрино, ул. Трактовая, д. 37",51.4752688356768,104.6217,"['БАНЯ/САУНА', 'ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",ВЕЛИКОЛЕПНО,9.6,24.0,Выдрино,2.1 км,644 м,90.7 км,39.7 км,,,644.0,usadba_novo-snezhka.html,6
https://101hotels.com/main/cities/sarma/turbaza_toynak.html,Турбаза Тойнак,,3000.0,"Сарма, Ольхонский район, местность Хужир-Нугэ,",53.08818,106.81101,"['ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'ВЕРХОВАЯ ЕЗДА', 'АВТОСТОЯНКА']",ХОРОШО,8.5,14.0,Сарма,2.0 км,19.5 км,149.2 км,194.9 км,,,19500.0,turbaza_toynak.html,5
https://101hotels.com/main/cities/suhaya/turisticheskiy_kompleks_sagaan_morin.html,Туристический комплекс Сагаан Морин,,1700.0,"Сухая, ул. Байкальская, д. 97",52.549043,107.11731,"['БАНЯ/САУНА', 'БАССЕЙН', 'ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",ХОРОШО,8.7,10.0,Сухая,600 м,604 м,85.8 км,85.1 км,,,604.0,turisticheskiy_kompleks_sagaan_morin.html,7
https://101hotels.com/main/cities/huzhir/usadba_kopilova.html,Усадьба Копылова,,1800.0,"Хужир, ул. Лесная",53.1910902,107.3478408,['АВТОСТОЯНКА'],ОТЛИЧНО,9.3,3.0,Хужир,400 м,1.2 км,154.4 км,231.3 км,,,1200.0,usadba_kopilova.html,3
https://101hotels.com/main/cities/kurma/baza_otdiha_pirs.html,База отдыха Пирс,,2160.0,Курма,53.17106,106.95111,"['БАНЯ/САУНА', 'ВЕРХОВАЯ ЕЗДА', 'БЕСЕДКИ ДЛЯ ОТДЫХА', 'ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",ОТЛИЧНО,9.3,5.0,Курма,1.4 км,27.6 км,155.7 км,206.6 км,,,27600.0,baza_otdiha_pirs.html,5
https://101hotels.com/main/cities/kurma/kemping_baykal-kantri.html,Кемпинг Байкал-Кантри,,3400.0,"Курма, ул. Лесная, д. 4",53.180101,106.96197,"['ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'ВЕРХОВАЯ ЕЗДА', 'ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",НОРМАЛЬНО,7.9,6.0,Курма,200 м,28.5 км,156.5 км,207.7 км,,,28500.0,kemping_baykal-kantri.html,0
https://101hotels.com/main/cities/maksimiha/lazurnyy_bereg.html,Загородный отель Лазурный берег,,3800.0,Максимиха,53.3059902297645,108.8241,"['БАНЯ/САУНА', 'ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'АВТОСТОЯНКА']",ВЕЛИКОЛЕПНО,9.8,9.0,Максимиха,7.4 км,32 м,191.4 км,,,,32.0,lazurnyy_bereg.html,2
https://101hotels.com/main/cities/huzhir/kemping_olhon.html,Кемпинг Ольхон,2.0,4500.0,"Хужир, Baikalskaya street 64/1",53.19418,107.3539,"['ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'ВЕРХОВАЯ ЕЗДА', 'ДЕТСКАЯ ПЛОЩАДКА']",ОЧЕНЬ ХОРОШО,8.9,124.0,Хужир,700 м,27.2 км,154.8 км,231.9 км,,,27200.0,kemping_olhon.html,6
https://101hotels.com/main/cities/kurma/baza_otdiha_uyuga.html,База отдыха Уюга,,4000.0,"Иркутская обл., Ольхонский р-он, Уюга",53.167876127142,106.94927,"['ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'БАССЕЙН', 'ДЕТСКАЯ ПЛОЩАДКА']",ОЧЕНЬ ХОРОШО,9.1,17.0,Иркутская обл.,,533 м,155.4 км,206.3 км,,,533.0,baza_otdiha_uyuga.html,11
https://101hotels.com/main/cities/huzhir/usadba_belikovyh.html,Кемпинг Беликовская,,3500.0,"Хужир, Solnechnaya ulitsa 16/1",53.19517,107.34892,"['БАНЯ/САУНА', 'ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'ВЕРХОВАЯ ЕЗДА', 'ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",ВЕЛИКОЛЕПНО,10.0,73.0,Хужир,400 м,27.4 км,154.9 км,151.7 км,,Завтрак,27400.0,usadba_belikovyh.html,3
https://101hotels.com/main/cities/huzhir/samita.html,Кемпинг Самита,,1900.0,"Хужир, Solnechnaya 10",53.1955,107.34949,['АВТОСТОЯНКА'],ХОРОШО,8.3,15.0,Хужир,500 м,27.4 км,154.9 км,,,Завтрак,27400.0,samita.html,2
https://101hotels.com/main/cities/sahyurta/turisticheskiy_kompleks_tutayskiy_priboy.html,Туристский комплекс Тутайский прибой,,,"Иркутск, Дорога на Тутайский прибой",52.994298054826,106.90147,"['БАССЕЙН', 'АВТОСТОЯНКА']",ОТЛИЧНО,9.3,6.0,Иркутск,,287 м,137.4 км,195.2 км,,,287.0,turisticheskiy_kompleks_tutayskiy_priboy.html,6
https://101hotels.com/main/cities/huzhir/yurty_olkhona.html,Кемпинг Юрты Ольхона,,,"Хужир, ул. Мира, д. 7",53.18819,107.33561,"['БАНЯ/САУНА', 'ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",ОТЛИЧНО,9.3,2.0,Хужир,800 м,,154.2 км,230.5 км,,,,yurty_olkhona.html,2
https://101hotels.com/main/cities/huzhir/turbaza_hanhoyskaya.html,База отдыха Ханхойская,,4000.0,"Ялга, ДНТ Ханхой",53.14066,107.18422,"['ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",ОТЛИЧНО,9.3,2.0,Ялга,,931 м,149.7 км,219.1 км,,Завтрак,931.0,turbaza_hanhoyskaya.html,2
https://101hotels.com/main/cities/sahyurta/baza_otdiha_bazarka.html,База отдыха Базарка,,2000.0,Сахюрта,53.02041,106.86334,"['БАНЯ/САУНА', 'ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'БАССЕЙН', 'ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",ОТЛИЧНО,9.4,5.0,Сахюрта,1.0 км,474 м,140.9 км,,,,474.0,baza_otdiha_bazarka.html,5
https://101hotels.com/main/cities/goryachinsk/usadba_dobrynya.html,Усадьба Добрыня,,,"Горячинск, ул. Рабочая, д. 90",52.98374,108.28169,"['БАНЯ/САУНА', 'ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",ВЕЛИКОЛЕПНО,9.6,6.0,Горячинск,1.2 км,178 м,143.0 км,135.9 км,,,178.0,usadba_dobrynya.html,1
https://101hotels.com/main/cities/utulik/usadba_baikkalina.html,Усадьба BaikКалина,,6912.0,"Утулик, ул. Озёрная, д. 8",51.55108,104.05967,"['БАНЯ/САУНА', 'ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'АВТОСТОЯНКА']",ВЕЛИКОЛЕПНО,9.8,2.0,Утулик,800 м,,82.9 км,1.0 км,,,,usadba_baikkalina.html,0
