place,Distinct count of key,coords,address
Хубсугул,7,"51.080021, 100.477732","аймак Хувсгел, Монголия"
Посёлок Усть-Ордынский,2,"52.805121, 104.753641","Эхирит-Булагатский район, Иркутская область, Россия"
Шаманка,13,"52.072042, 103.824235","Шелеховский район, Иркутская область, Россия"
Аршан,47,"51.911560, 102.435548","Тункинский район, Республика Бурятия, Россия"
Тунка,4,"51.743351, 102.542276","Тункинский район, Республика Бурятия, Россия"
Кынгарга,3,"51.885040, 102.443767","Тункинский район, Республика Бурятия, Россия"
Нилова пустынь,2,"51.694445, 101.674207","Тункинский район, Республика Бурятия, Россия"
Озеро Сердце,11,"74.694081, 109.625331","Таймырский Долгано-Ненецкий район, Красноярский край, Россия"
Аляска,2,"58.360711, -134.513138",Соединённые Штаты Америки
Шаманский мыс,18,"51.694808, 103.702972","Слюдянское муниципальное образование, Иркутская область, Россия"
Култук,22,"51.725458, 103.709296","Слюдянский район, Иркутская область, Россия"
Утулик,5,"51.544396, 104.056692","Слюдянский район, Иркутская область, Россия"
Бухта Аяя,13,"55.448403, 109.930668","Северо-Байкальский район, Республика Бурятия, Россия"
Озеро Фролиха,6,"55.436944, 110.035735","Северо-Байкальский район, Республика Бурятия, Россия"
Слюдянское озеро,4,"55.467142, 109.141139","Северо-Байкальский район, Республика Бурятия, Россия"
Нижнеангарск,3,"55.788641, 109.579094","Северо-Байкальский район, Республика Бурятия, Россия"
Ангарский Сор,3,"55.789775, 109.749685","Северо-Байкальский район, Республика Бурятия, Россия"
Остров Ярки,2,"55.757592, 109.731125","Северо-Байкальский район, Республика Бурятия, Россия"
Бурятия,68,"51.834464, 107.584574",Россия
Иркутск,55,"52.289588, 104.280606",Россия
Иркутская область,26,"52.286387, 104.280660",Россия
Сибирь,22,"55.030199, 82.920430",Россия
Москва,11,"55.755819, 37.617644",Россия
Санкт-Петербург,4,"59.939099, 30.315877",Россия
Камчатка,4,"53.024075, 158.643566",Россия
Забайкальский край,4,"52.033973, 113.499432",Россия
Малый Ушканий остров,3,"59.498496, 130.600005",Россия
Якутия,2,"62.028103, 129.732663",Россия
Чукотка,2,"66.244592, -172.682662",Россия
Читинская область,2,"49.905782, 117.238499",Россия
Челябинск,2,"55.159902, 61.402554",Россия
Рязанская область,2,"54.629216, 39.736375",Россия
Новосибирская область,2,"55.030199, 82.920430",Россия
Новосибирск,2,"55.030204, 82.920430",Россия
Крым,2,"44.948237, 34.100318",Россия
Калужская область,2,"54.513845, 36.261215",Россия
Улан-Удэ,24,"51.834809, 107.584547","Республика Бурятия, Россия"
Северобайкальск,13,"55.636001, 109.335597","Республика Бурятия, Россия"
Баргузинский хребет,5,"53.663740, 109.555900","Республика Бурятия, Россия"
Окинский район,4,"52.397523, 100.389653","Республика Бурятия, Россия"
Тункинский район,2,"51.544760, 102.417114","Республика Бурятия, Россия"
Тарбагатайский район,2,"51.550630, 107.559098","Республика Бурятия, Россия"
Селенгинский район,2,"51.285965, 106.529278","Республика Бурятия, Россия"
Восточная Сибирь,7,"55.037175, 83.432613","Репьёвский сельсовет, Тогучинский район, Новосибирская область, Россия"
Бухта Песчаная,10,"43.208974, 131.734909","Приморский край, Россия"
Дальний Восток,4,"44.597647, 132.817568","Приморский край, Россия"
Владивосток,3,"43.115542, 131.885494","Приморский край, Россия"
Горячинск,9,"52.985569, 108.300091","Прибайкальский район, Республика Бурятия, Россия"
Пещера Амандык,4,"52.229123, 107.917867","Прибайкальский район, Республика Бурятия, Россия"
Турка,2,"52.948407, 108.220285","Прибайкальский район, Республика Бурятия, Россия"
Мыс Бурхан,16,"53.203824, 107.338948","Ольхонский район, Иркутская область, Россия"
Хужир,15,"53.193456, 107.343646","Ольхонский район, Иркутская область, Россия"
Бугульдейка,14,"52.546571, 106.069170","Ольхонский район, Иркутская область, Россия"
Ольхонские ворота,5,"53.035128, 106.905484","Ольхонский район, Иркутская область, Россия"
Еланцы,3,"52.797330, 106.399247","Ольхонский район, Иркутская область, Россия"
Усть-Анга,2,"52.776863, 106.576260","Ольхонский район, Иркутская область, Россия"
Мыс Хорин-Ирги,2,"53.062189, 106.902870","Ольхонский район, Иркутская область, Россия"
