url,До центра деревни,До аэропорта,До ж/д вокзала,До Байкала,features,description,До центра города,До канатной дороги,До лыжной трассы,nearest_site,Расположение,Обслуживание,Цена/качество,Чистота,Питание,Качество сна,Год открытия,До центра села,До центра поселка,До Залива Мухор,До залива Ангарский сор
https://101hotels.com/main/cities/kurma/ekootel_yurtochnoe_kocheve.html,2100.0,155200.0,206000.0,478.0,"['Интернет', 'Бар / Ресторан', 'Автостоянка / Парковка', 'Пляж', 'Фитнес-центр / Тренажерный зал', 'Прачечная или Химчистка', 'Трансфер', 'Сауна / SPA']","База отдыха предлагает гостям:
Есть парковка
Доступен трансфер (за дополнительную плату)
На берегу озера Байкал находится эко-отель «Юрточное Кочевье». В чистом поле каждый год, в летний период устанавливаются юрты — жилища монголов, которыми издавна пользуются тюрские народы.
Юрта — это самое экологичное жилье, в котором летом будет прохладно, а зимой устанавливается печка. На территории отеля имеется спа-юрта, где проводится йога, семинары, тренинги и предоставляются услуги массажа.
Имеются юрты как двухместные, так и трехместные. Для путешествующих на автомобиле предоставляется место на парковке. По утрам сервируются вкусные и сытные завтраки. Приготовить себе еду можно самостоятельно с помощью принадлежностей для барбекю.
Для более активных отдыхающих предлагается воспользоваться услугой верховой езды за дополнительную плату. Предоставляются пешеходные экскурсии по окрестностям, тематические ужины, кулинарные мастер-классы, аэробика, вечерняя программа и многое другое.
База отдыха полностью оснащена всем необходимым для комфортного отдыха. Для удобства гостей имеется горячий душ и туалет. Отдых в Кочевье запомнится гостям на долго, ведь, чтобы получить великолепный оздоровительный отдых, достаточно выбрать правильное место для отдыха. Именно здесь гости получат незабываемые эмоции, которые запомнятся на долгую память.",,,,,,,,,,,,,,,
https://101hotels.com/main/cities/leestvyanka/apartment_on_akademicheskaya_10.html,,55800.0,2100.0,287.0,"['Интернет', 'Пляж', 'Автостоянка / Парковка']","Апартаменты предлагают гостям:
Бесплатная парковка
Бесплатный Wi-Fi
Рядом с отелем есть:
Байкальский лимнологический музей
Гарантируем лучшие цены в апартаментах На Академической!
Апартаменты «На Академической» в Листвянке отличаются своим удачным расположением — до набережной озера Байкал всего 0,5 км. Отдыхающим обеспечена бесплатная общественная парковка рядом со зданием и свободный доступ к WI-FI.
Гостей ожидает 1 номер — квартира в жилом доме с двумя спальнями и балконом с видом на горы. Из удобств здесь есть телевизор со спутниковыми каналами и тренажёр для ходьбы. В собственной ванной комнате установлена стиральная машина.
Собственная кухня оснащена гарнитуром, газовой плитой и духовым шкафом, холодильником и мультиваркой. Поблизости располагается продуктовый магазин.
Это направление придётся по душе любителям экстрима — в 0,6 км отсюда находится спортивный горнолыжный комплекс «Истлэнд» со снежными трассами и подъемниками. Расстояние до аэропорта Иркутск составляет 55 км.",3100.0,929.0,791.0,Байкальский лимнологический музей,,,,,,,,,,,
https://101hotels.com/main/cities/leestvyanka/majak.html,,59200.0,5100.0,58.0,"['Интернет', 'Бар / Ресторан', 'Прачечная или Химчистка', 'Трансфер', 'Фен', 'Бильярдная', 'Кондиционер', 'Бизнесменам', 'Сауна / SPA', 'Размещение домашних животных возможно по запросу.']","База отдыха предлагает гостям:
Размещение в самом центре
Вкусные завтраки
Доступен трансфер (за дополнительную плату)
Бесплатный Wi-Fi
Рядом с отелем есть:
Музей Тальцы
Бронирование напрямую
с моментальным подтверждением
Гарантируем лучшие цены в загородном комплексе Маяк!
Загородный комплекс Маяк - это идеальное место чтобы хорошо отдохнуть, поработать или весело провести время.
В комплекс входит 97 номеров различной категории. Все номера оборудованы кондиционерами, удобной мебелью и другими предметами, которые делают Вашу остановку в Маяке приятной и незабываемой.
В комплексе имеется большой конференц-зал, сайна, бильярдная, барбекю-бар, ресторан, охраняемая парковка и многое другое.
Расположение загородного комплекса просто идеально - он находится на берегу самого глубокого озера в мире - Байкала.
Мы рекомендуем! Это один из самых популярных вариантов среди гостей в Листвянке",1100.0,3600.0,3500.0,Музей Тальцы,9.8,9.3,9.1,9.4,9.6,9.3,2006.0,,,,
https://101hotels.com/main/cities/goryachinsk/papa_karlo_guest_house.html,,,,,"['Интернет', 'Автостоянка / Парковка', 'Размещение домашних животных возможно по запросу.']","Гостевой дом предлагает гостям:
Размещение в самом центре
Бесплатная парковка
Бесплатный Wi-Fi
Гарантируем лучшие цены в гостевом доме Papa Karlo Guest House!
Гостевой дом «Папа Карло» расположен в Горячинске.
К услугам гостей терраса.
К услугам гостей семейные номера и принадлежности для барбекю.
Номера в гостевом доме оснащены телевизором с плоским экраном.
Номера гостевого дома Papa Karlo располагают собственной ванной комнатой и бесплатным WiFi.",,,,,,,,,,,,700.0,,,
https://101hotels.com/main/cities/severobaykalsk/baikalskaya_zhemchuzhinka_leningradskiy_prospekt_3.html,,,300.0,,"['Интернет', 'Трансфер', 'Автостоянка / Парковка']","Апартаменты предлагают гостям:
Размещение в самом центре,
в 301 метрах от Ж/Д Вокзала
Бесплатная парковка
Доступен трансфер (за дополнительную плату)
Бесплатный Wi-Fi
Рядом с отелем есть:
Картинная галерея
Гарантируем лучшие цены в апартаментах На Ленинградском проспекте, 3!
Апартаменты «На Ленинградском проспекте, 3» находятся в Северобайкальске.
В апартаментах осуществляется доставка еды и напитков в номер и предоставляется бесплатный WiFi.
В апартаментах есть 1 спальня, телевизор с плоским экраном и кабельными каналами, оборудованная кухня с микроволновой печью и холодильником, стиральная машина и 1 ванная комната с душем.
Гостям предоставляются полотенца и постельное белье.",1600.0,,,Картинная галерея,9.6,8.3,6.8,8.1,,8.5,,,,,
https://101hotels.com/main/cities/ust-barguzin/gostevoy_dom_na_baykale_2.html,,,,,"['Бар / Ресторан', 'Автостоянка / Парковка', 'Бассейн', 'Сауна / SPA']","Гостевой дом предлагает гостям:
Размещение в самом центре
Бесплатная парковка
Гарантируем лучшие цены в гостевом доме На Байкале!
Гостевой дом «На Байкале» с баром расположен в селе Усть-Баргузин.
На территории разбит сад.",,,,,,,,,,,,,1500.0,,
https://101hotels.com/main/cities/bolshie_koti/lesnaya_7.html,,63800.0,18400.0,190.0,"['Прачечная или Химчистка', 'Автостоянка / Парковка', 'Сауна / SPA']","Гостевой дом предлагает гостям:
Размещение в самом центре
Есть парковка
Гарантируем лучшие цены в гостевом доме Лесная 7!
На берегу озера Байкал располагается гостевой дом ""Лесная 7"" в поселке Большие котлы, Иркутской области. Любители загородного отдыха и деревенского быта проведут здесь незабываемые выходные. В распоряжении гостей: парковка, сад, сауна, терраса.
Для проживания подготовлены уютные номера, где установлена функциональная мебель. В числе удобств ванная комната, которая включает в себя сантехническое оснащение. Из окон открывается живописный вид на местность.
Приготовить еду постояльцы смогут на небольшой кухне, есть обеденная зона и бытовая техника. В 5 минутах ходьбы есть продуктовый магазин.
В шаговой доступности находится Музей байкаловедения. Отдыхающие могут посетить пляж, искупаться и позагорать, ловить рыбу. Гостевой дом окружает лес, где растут грибы и ягоды.
Расстояние до ближайшего аэропорта составляет 85 км пути.",,,,,9.1,8.5,8.7,8.7,8.7,8.5,,,300.0,,
https://101hotels.com/main/cities/leestvyanka/apartments_on_the_baikal.html,,57500.0,3800.0,353.0,"['Интернет', 'Пляж', 'Автостоянка / Парковка', 'Трансфер']","Апартаменты предлагают гостям:
Размещение в самом центре
Бесплатная парковка
Доступен трансфер (за дополнительную плату)
Бесплатный Wi-Fi
Рядом с отелем есть:
Музей Тальцы
Гарантируем лучшие цены в апартаментах На Байкале!
Апартаменты «На Байкале» располагаются в центре Листвянки, в 0,3 км от пляжа с озером. Для безопасности личного транспорта отдыхающим предоставлена бесплатная частная парковка. Также в числе услуг свободный доступ к WI-FI и трансфер по договорной цене.
В распоряжении гостей 1 номер-студия с панорамным видом на гору, оснащённый искусственным камином, телевизором с плоским дисплеем, прикроватными тумбочками и розетками. В собственной ванной комнате предусмотрены гигиенические принадлежности, водонагреватель и тропический душ.
Готовить любимые блюда позволяет оснащение собственной мини-кухни с обеденной зоной. В наличии электрический чайник, мультиварка, плита, микроволновая печь и холодильник. Через дорогу работает продуктовый магазин.
В 2 км отсюда находится спортивный комплекс «Истлэнд», что делает объект привлекательным для туристов-горнолыжников. Активно провести время без лыжни можно в Усадьбе Тюрюминых, где есть условия для катания на лошадях и ездовых собаках. Путь до ближайшего аэропорта в «Иркутске» составляет 58 км.",900.0,2000.0,1900.0,Музей Тальцы,9.8,9.8,8.1,9.8,10.0,9.8,,,,,
https://101hotels.com/main/cities/huzhir/lake_view_little_chalet.html,,,,,"['Трансфер', 'Автостоянка / Парковка']","Гостевой дом предлагает гостям:
Размещение в самом центре
Бесплатная парковка
Доступен трансфер (за дополнительную плату)
Рядом с отелем есть:
Краеведческий музей им. Н. М. Ревякина
Гарантируем лучшие цены в гостевом доме Lake view Little Chalet!
Гостевой дом «Небольшое шале с видом на озеро» расположен в поселке Хужир.
Из окон открывается вид на озеро.
Номера гостевого дома оснащены телевизором с плоским экраном.
Все номера располагают собственной ванной комнатой с душем, феном и бесплатными туалетно-косметическими принадлежностями.
Номера оснащены холодильником.",,,,Краеведческий музей им. Н. М. Ревякина,,,,,,,,,700.0,,
https://101hotels.com/main/cities/enheluk/baza_otdiha_baykalskaya_solyanka.html,,82200.0,83000.0,432.0,"['Интернет', 'Прачечная или Химчистка', 'Бассейн', 'Бизнесменам']","База отдыха предлагает гостям:
Размещение в самом центре
Любителей красот Байкала приглашают посетить турбазу «Байкальская солянка», расположенную в п. Новый Энхалук республики Бурятия. Чистые родники, песчаные пляжи, таежные леса, горячие источники — вот чем славится этот уголок. Для гостей предлагают комфортабельный дом и юрты (пятиместные). В доме различные категории номеров: стандарт (4 и 2 местный), комфорт, эконом (3, 4 и 6 спальных мест). В каждой комнате удобные односпальные или двуспальные кровати, дополнительные диваны или кресла-раскладушки. В номерах повышенного комфорта: шкаф, тумбочки, ТВ, средства личной гигиены, душ и туалет. Для всех постояльцев, кроме юрты: ТВ, полотенца, столы и стулья. В номерах эконом-класса санузел общий, в юрте — удобства на территории. Трехразовое питание входит в стоимость, дополнительно кафе-столовая. За отдельную оплату: сауна с бассейном, джакузи, конференц-зал, мангальная зона, караоке. Автостоянка бесплатная, так же пользование wi-fi. Рыбалка на озере Байкал — это особый вид спорта, который притягивает к себе множество туристов. В местных водах водятся: байкальские омули, щуки (до 10 кг и выше), хариусы, осетры (правда ловить запрещено), ленок. Наиболее популярное место лова - Чивыркуйский залив. В шаговой доступности минеральные источники Загза, воды с богатым составом. Применяются при лечении заболеваний: мочеполовых органов, нервной системы, кожи, последствиях травм, улучшают работу сердца и сосудов, пищеварение. Отдыхающих приглашают в буддистский центр, в котором расскажут что такое буддизм и его историю, что такое медитация и про способы успокоения души. Учителя и мастера объяснят смысл достижения покоя и соединения с природой. Добраться до ярких впечатлений и комфортного отдыха от ближайшего аэропорта — 160 км, жд вокзал — 159 км.",,,,,,,,,,,,,100.0,,
https://101hotels.com/main/cities/goryachinsk/semeinyi.html,,,,,"['Интернет', 'Бар / Ресторан', 'Автостоянка / Парковка', 'Сауна / SPA', 'Размещение домашних животных возможно по запросу.']","Гостевой дом предлагает гостям:
Размещение в самом центре
Бесплатная парковка
Бесплатный Wi-Fi
Гарантируем лучшие цены в гостевом доме Semeinyi!
Гостевой дом «Семейный» расположен в Горячинске.
К услугам гостей бар, сад, прямой доступ к лыжным склонам и бесплатный WiFi на всей территории.
К услугам гостей семейные номера и терраса.
Гостям предоставляется бесплатная частная парковка и прокат лыжного снаряжения.
Номера в гостевом доме оснащены телевизором с плоским экраном.
В гостевом доме Semeinyi ежедневно подают завтрак по меню.
В окрестностях популярны такие виды активного отдыха, как лыжный спорт и горячие прогулки по городу Горячинск.",,,,,,,,,,,,400.0,,,
https://101hotels.com/main/cities/bolshie_koti/gostevoy_dom_uyutniy_cheshir.html,,63900.0,18700.0,471.0,"['Прачечная или Химчистка', 'Автостоянка / Парковка']","Гостевой дом предлагает гостям:
Размещение в самом центре
Бесплатная парковка
Гарантируем лучшие цены в гостевом доме Уютный Чешир!
Гостевой дом ""Уютный Чешир"" расположен в тихом местечке городка Большие Коты, Иркутской области. Предлагается широкий спектр развлечений: рыбная ловля, занятие велоспортом, а так же различные настольные игры.
Номерной фонд располагает различными категориями номеров с вариантами проживания семьей до четырех человек или в общем номере с раздельными односпальными кроватями. Интерьер помещений выполнен из натурального дерева с использованием комфортной мебели. В них достаточно места для хранения вещей, есть электрический чайник и обеденный уголок. Комната сантехнических удобств доступна для пользования всех жильцов.
Приготовление любимых блюд возможно на полностью оборудованной кухне всем постояльцам. Имеется варочная поверхность и кухонный гарнитур, техника и много посуды. Отведена столовая зона для приема пищи. Предоставляются принадлежности для барбекю. Купить продукты можно в супермаркете поблизости.
Местонахождение дома близко к центру поселка позволяет добраться в короткий промежуток времени до нужного места. Недалеко горнолыжный подъемник и берег озера Байкал. Аэропорт и железнодорожный вокзал расположены в Иркутске. Расстояние до него менее 70 км.",,,,,9.3,7.9,8.1,9.1,10.0,9.3,,,500.0,,
